start,start_lat,start_lng,end,end_lat,end_lng,start_type,end_type,type,index,success,polyline,distance,duration
cs lab sabende,10.370727,-13.584125,hp labs boffa,10.177999999999999,-14.030999999999999,center,prefecture,center_prefecture,0,1,wmh~@xa|qA_AkAa@VoBt@kJu@uKqCiFsBmCDeCz@sFbFuI`A}DcAeFqI{AoAaCG{RtGmFf@uE\iE|AmNzHcQzJ}CpF_@pHfBjPeCbIKdDjArOz@bNGrEEfAGdAa@jCc@hCoAxG}BpL}@pEeCvLwAhC{ItHuBdEgF|[yBbHiCbD_EdDkKpI{ArCCbE`CrKxBpGzCrDlFjG`CzIdBhEtD|CrEnC~DlH~Wxp@pJ|UrBdGr@tFtBlSNfFa@`N_@nLa@lLCxCj@~CvBpDrFfGnIbJzD~AxBVnE]tCuApDqE~GsItCiAzD]dG_AtG{DhKYdFgCdOsDfH{@|Iz@vDzA|ChCbIdKvDjFxAdE^pCDzMBhO?~MpAvF`CtGr@lFRbLv@dC~BfBxD`CjCxDlb@dZlC`CnAlChC`DzNzDnKdDfBbBfRxXlExDth@dS`ERvJ}BlHmA~CR~_@rJf[~HdDvBxBpEtBpFhDxCrUxG`z@rT|RjFnRzJtYxLjCjA|BtDhEfJhJnLpQrOpR|TjC|C`GfFvWjO|I`GnCpDrBtFfI`c@~AtDvSr[`RrZpD~IlEpWEfFcBnXf@nCc@nE\bHeAlHXlCYxAqDzPiB`Fq@lNGvIqAl@l@|@rBfBtFlPZdAjJfLxB`CbFvIrGfN|A~GdChQx@dOBlQ[jKgA`IoGbRo@~BBhAzAvE|ArC~BpBnElDpBlAbJzFtEpDlVhQtMpIfClBx@h@~InMG|HInFJdEg@lJEbB~AxDz@l@~O|FfCbAjDpBdBrBxTz[~@lAl[nYz@dAbCGbAbBSb@Xj@v[zc@`KbWhKpThDlFlF`GlM`QtFxQt@rE~Dbf@nLxf@bAhDRn@zE~FnD~ErB|HnLvm@dDfK`IdFdG`D|KnIlBv@|ObAhk@zChCR~HfCdMfFBnA{@hBkNxGgXtJyP|ByC^aCHW~@J|AfLnZ|C|P~AlM|@tSGfRx@bGxH|]tDfh@oDda@IxGhBdM|BzGfHrKbI~JdEtGnAhEjDtRnDxP|O`d@jHpQxDdJtAvGpEbYuC|o@JxGXzP`AxEdApNb@xE_ARyBTmC?yQiEiMeDaOeBuOl@ir@vEyCp@qCnByBfEuLv_@IxC~EtUpAxH]pDiC~D_TpOke@j^{ZzU}IbIcDdHcAnKtBlqAzAnGbC~DrBdB~GtCx`@hD|l@vEhZfDlf@jFzHz@bEz@xFrB|B`AfBpAzAFn@oD~EMbAAlKgC~Js@vI_C|AgAfDcA~IcDb@e@c@a@q@m@iAgC|@aAzGsErAiAx@_AwB{B]c@,77274,5710
cs lab sabende,10.370727,-13.584125,biomedical lab and blood transfusion fria,10.370727,-13.584125,center,prefecture,center_prefecture,1,1,wmh~@xa|qA,0,0
cs lab sabende,10.370727,-13.584125,hp labs gaoual,11.76368,-13.200053,center,prefecture,center_prefecture,2,1,wmh~@xa|qAqm@wFm^oBga@dFor@d`@gA~WsNiXk]uKuSun@}_@ci@y|@}f@ymBgwA_bAoi@w~@}j@Yix@kEuV_l@sCc{@x^{xBeo@a`AeUca@wj@ud@sd@c^q`A{Cag@e}@uVmX_Xev@sMqoA{l@ay@i_@an@_Cgj@iz@a`@gIyzAtH{v@qQ}^i\{j@geAm\kWuy@gr@ei@wcAwF{f@g[mjAg~@io@upAhBylAnmAkw@hDac@_P}`@}L}b@we@}]{i@c\cAsg@s^sQccAw_@meAi~@s`AwjBv^uxAyCyvAyaAqJy}@m\_FaH}Wsw@wf@mS}c@dE}q@jY{i@}Lah@E_aA_Mq\ym@cNmUok@\yr@fAacA``@{r@eEsa@sKum@y\cr@eh@_n@jG}SlQvAtFcTtUuf@}Bs_@eFmhAV_jAu^oQr@cOxOqo@qJsf@g]s@qz@mQiu@kl@cZ_Pgr@mK{Xi\kd@{y@aPGjD~NhCnQ~Etd@fGbf@__@htBkUlRkb@g@q}@``@oSbPuGsOkPiOoWbBmIdA{h@hExCnX{CfPiBvNnB`c@bPx_@b\d]nc@q@hc@rE|e@zQnTfi@h[`n@sH|WiZdBee@~Fm`@rBg[`VUr\wZxLm_Atk@eIzIyYEgf@kNwj@uFaLsRaf@kQigAneAo|@nt@sfBoJkkAmFuQv@ae@qTevAhI_[`m@w[tSw}@jBotA_Aqc@jO{p@vBmf@rJ}RxXua@j\of@eJso@vMsc@iPaiAdYgnAgTic@cb@}d@dEwFnSyWrQkSuf@nf@}}@dpAaWtp@Ofc@gZnIu_@{Pu[qCgeA_Oo~AvBeUaNgFfKko@i\kvAo[qI{gBxKm]jFaYiW_^qk@{u@{FyRxJox@}JeH|_@s]rP{SoBei@aHge@gK}^mB}JxW}`@|DaY}`@ag@vJqHpMmj@bAcvAjYi{@|Qk`@\ok@~Xmw@nLiiAaSqw@a_@ap@sGosB~i@uJpYXxa@hY|w@dG|a@ge@~d@a_@`z@wClh@wR~b@icB~qAwjBcZ{b@eOud@i@on@vBkbBzXod@r@cOaFq|@fDcr@pX`JnEkPnNaLf`@coAlCs_AiJaXdf@cg@zn@moAmCeiBiKwCsSy|AmIuh@nMwQwDaFuNiwCgDmGkC}{@k`@k^_E}v@oe@}YtD}oAi{Ae|@ed@gg@aBiuAwTel@_XybAitAaSuF_n@nViYk[ib@qN_xAnJmwAu@ilAda@Uoa@qQyW{aA~Law@nEqhAZe]eO{QdGqW{Lso@pEqMeB,259074,16471
cs lab sabende,10.370727,-13.584125,hp labs koundara,12.491184,-13.295664000000002,center,prefecture,center_prefecture,3,1,wmh~@xa|qAqm@wFu`AtBor@d`@gA~W_m@_e@uSun@w}AaqAypDwaCw~@}j@Yix@kEuV_l@sCc{@x^{xBeo@a`AeUca@wj@ycAefB{Cag@e}@uVsoAsf@qoA{l@ay@i_@an@_Cgj@iz@{{BQyvA{n@{j@geAcwAsjAei@wcA_c@irBg~@io@upAhBylAnmAkw@hDac@_P{dAus@ucBskAkr@qiCi~@s`AwjBv^uxAyCyvAyaAqJy}@oe@}^sw@wf@mS}c@dE}q@jY{i@}Lah@E_aAy{@uk@oTi_BfAacAzYouAsKum@_fAcaBxYeQtFcTvQigAmEmsCa]sa@xOqo@qJsf@g]s@qz@mQmpAk}@gr@mK{Xi\kd@{y@uJvNhCnQ~Etd@fGbf@__@htBiwBfr@e\N{h@eLmIdA{h@hExCnX{CfPiBvNnB`c@bPx_@b\d]nc@q@hc@rEl{@b|@h[`n@}c@b[sfArJ}[ts@wZxLm_Atk@_d@tI_rAaVcs@_e@igAneAo|@nt@sfBoJkkAmFww@yRevAhIww@vaAgsCj@muAbSmf@rJ}RxXua@j\of@eJgtAqAaiAdYgnAgTic@cb@}d@dEq_@bf@kSuf@nf@}}@dpAaW|tAwZkFk|@qSwdDiJm\fKko@i\kvAo[qI{gBxKow@}O_^qk@uiA|Box@}JeH|_@or@bMmoAiT{j@jT_{@_[a|Al[mrChl@{lA|YwaCqEshBug@osB~i@{Ij|@hY|w@dG|a@ge@~d@a_@`z@oWllAicB~qAwjBcZqhAoPon@vBkbBzXod@r@ulAy@cr@pXiE~TaLf`@coAlCs_AiJaXdf@cg@zn@moAmC}mB}_@ofC`CyXmTiwCgDkdAwd@ivAok@}YtD}oAi{AmdBgg@iuAwTel@_XybAitAabAxNs|@}j@mpDxHilAda@gRiz@}yBnSsyBcFqW{L{WdB{Ri[a_@f@oGea@{n@kbBc[yhBcL}wA{v@_eEwLgcAg_@{\cb@wMpOm{AqnEszCi]jS{Ip`AaUxF}iCnwCgtBxyBaPbp@ey@nZqcCxs@eqApBiS`XalA_Jip@_m@g_BdAcl@q@aRwE{{BcFyyB}e@{j@cGiZyIg|Be{@itEcm@q}Cwr@idEieAwuCqvAo{A^gj@f^enAhaB_q@xe@_oBvVucBltBkrC|mFe`FpyBux@yBmsA|`@{lArc@knBjeAid@lx@i`B|Hyn@hg@ifBti@eaAhpAytAno@w{EdjCcdAvz@qdAt{Bi_Al_@gEwI,372148,21965
cs lab sabende,10.370727,-13.584125,hp labs kissidougou,9.197805,-10.104365,center,prefecture,center_prefecture,4,1,wmh~@xa|qAgoBaCwt@dy@_m@_e@mrBw`CypDwaCq_AgdBkr@i[c{@x^{xBeo@hI}uBxUwzAho@epAdXgm@q~@gd@kzAobBvGohCuQusAwjAs_CdpAwzGb`AcoBx^uhBao@efB|x@icAzgA{v@tx@o\|p@}\kL{d@n]cSrzA{u@|@qtC{bA{fClUynBct@o|CeNc|Ai^{^eqAeyArRss@wBinAkWcm@be@uy@r]aoAvo@{{Bxz@gd@uMqaAoh@_lArV__A~k@gHnxAozAri@wh@ekAsf@wk@ifAlDkz@o]om@db@{qAhJqcBifAsNyzCim@cf@chBpAsvAy_AwhAkmBiQ{wAlPi_A_z@urC_gCsHut@n}@_fAfgBqcCxa@gz@dKi}@iq@u}Cot@cxF`Ni`Bve@weA}Dm~A`jA{yAsgBaiQCs~Bha@up@gRurBxFwmBvbAaK`e@md@zuEoCbcBguA|sAxEhtDa~Chn@qVrbA`CpvCj[v_CqrAzvA^naDuQlkEte@jnAsp@_b@a|AxTksA~o@qWiWomAyWecAsjAktAjc@i{@o{@s}AdQ{bAsDotAmp@ibCzHk|@ocAyvDhUqqCedBsg@_rCe^oXy`Dlg@kfAsD{zAo}A}wCuBauEuj@}sBpRoyCjbFwxFpcF}cEfv@_kDeKeh@ya@qw@|ZwmBvnByrC~y@o|B`qAol@vwCayCrfDqrAdnB{n@`g@irB`Ek`D{lAqhDyQmvApZeaBpo@quBhxAszArcAc{BgX}z@bo@i]vcA}c@rCw|B_}@gkDxOgfEpmBoqAhzBq~B~vB{nCvr@ciB_MixAny@k}Cs_@cwBifCobAsVguB`d@a_A__@swBb\{NvsA}h@dfA_fBpwAuj@rd@FaDkmAch@s}Bpf@qlB~gAixDpMsoB`xAypA{Xgl@rGqwAlSwlAilAo{Dw{@iaDapBguF`KsItDeTxnAkfBoAclAujAisExXknG~Q_fAbnBkZz[{rAzjAkpAtr@ikHgb@u_B`NatCgCe~Ded@emCix@siFwv@snF`DwcA|gAeLptAwv@la@gi@tlBqTluCe|BjbFy{BfeEkbAdhAiwDj|D}MpwC{[~zFmu@haFvz@z`Br^hzAg}@d~@}cB~|@km@pn@{xDdrAan@d_C}ZlyAo_AhzFyp@fvFyxC~wC_Yt{B_kBw|@wsCwC_pGhh@{xEv}A_jCx_Aq|DxoDokE~dByjEhdBugDdpDsjBv`A}\t|AysBp_EkdEttEcaCriImjBveLo|E|b@L,585635,38306
cs lab sabende,10.370727,-13.584125,hp labs dabola,10.731488,-11.060955,center,prefecture,center_prefecture,5,1,wmh~@xa|qAgoBaCwt@dy@_m@_e@uSun@w}AaqAypDwaCw~@}j@Yix@kr@i[c{@x^{xBeo@hI}uBxUwzAuFag@~v@ch@dXgm@q~@gd@kzAobBvGohCuQusAwjAs_Ctk@}aDnc@ywB~r@wo@bLk~@x^uhBao@efB|x@icAzgA{v@pIq]bn@`@|p@}\kL{d@n]cSrzA{u@|@qtCyh@ou@aYkpAlUynBpCq_Aux@}{AeNc|Aua@{FjB_WeqAeyArRss@wBinAkWcm@be@uy@pCe]nd@oLmJkc@|Lmw@xa@mcAxz@gd@uMqaAoh@_lArV__A~k@gHrWqHz_A}pAri@wh@ekAsf@wk@ifAlDkz@o]om@db@{qA|[uf@sP{{@ifAsNm`A}FkyAke@_n@}x@zFen@pAsvAy_AwhA{_@yMaj@{Wma@jT{wAlPi_A_z@urC_gCsHut@n}@_fAbp@sWvHwg@jl@ebAxa@gz@|WsKwKup@i]yaC_S{Zg\ydCgWirBqIuw@rXsg@ve@weA}Dm~A`jA{yA`Ma[uuB_mPCs~Bha@up@gRurBzQis@aJmy@vbAaK`e@md@zuEoCbcBguA|sAxEhtDa~Chn@qVt[gS|e@hWtv@|Tz~AlE`cAwRt{@y~@zvA^naDuQlkEte@jnAsp@_b@a|AxTksA~o@qWiWomAyWecAsjAktAjc@i{@o{@s}AdQ{bAjM{p@_Ssb@mp@ibCzHk|@mKu_Aqm@{`AoHgt@~JgxAhIix@cFuVa}A}O_rCe^aAarAmVwmAlg@kfA`G}l@uL}l@_p@o_Aol@mwAoRoy@bRuZiB{~Buj@}sByNmrAedAqGshBlVg|@|PaeA`JgbBoRitCon@}xAazBsRedBoMm_Cm{@iwB_R{nBuCc`Avc@_e@YazBgaCu{Dqp@ue@}fA}`@sjAwqAauAukAueA`FqeAcLic@mf@o_Awu@ub@ae@ef@mV_WkgAop@}d@yiBsoAfEmv@eh@e^{eAq^uc@ysB~CcmC_EagAwp@yKcy@k{Bw_A}uAsf@qNyg@ykAgc@eaD`Agr@whAadClPqfBfSec@oBesAakAc|Cor@}k@mzAsJmXs}Co[wwAde@u`Atz@qpBngBmsBmi@eqDks@{zD_FgkCcYmnApF_y@~`@ac@sNg~@{RqjEqc@omAk_@ch@jf@wQpvAq]vZucEk`@gz@uQy_BdGmaBriBuwE{Qm{B_Y_d@iwA{mCfHyiBbVmdCaFqgA}_@h@xA_z@a\ciAbX_QbTy^fWycAbCmI,416582,30344
cs lab sabende,10.370727,-13.584125,hp labs dinguiraye,11.290165,-10.718772999999999,center,prefecture,center_prefecture,6,1,wmh~@xa|qAgoBaCwt@dy@_m@_e@uSun@w}AaqAypDwaCw~@}j@Yix@kr@i[c{@x^{xBeo@hI}uBxUwzAuFag@~v@ch@dXgm@q~@gd@kzAobBvGohCuQusAwjAs_Ctk@}aDnc@ywB~r@wo@bLk~@x^uhBao@efB|x@icAzgA{v@pIq]bn@`@|p@}\kL{d@n]cSrzA{u@|@qtCyh@ou@aYkpAlUynBpCq_Aux@}{AeNc|Aua@{FjB_WeqAeyArRss@wBinAkWcm@be@uy@pCe]`Y{p@vo@{{Bxz@gd@uMqaAoh@_lArV__A~k@gHrWqHz_A}pAri@wh@ekAsf@wk@ifAlDkz@o]om@db@{qAhJqcBifAsNm`A}FkyAke@_n@}x@zFen@pAsvAy_AwhA{_@yMaj@{Wma@jT{wAlPi_A_z@urC_gCsHut@n}@_fAbp@sWvHwg@jl@ebAxa@gz@|WsKwKup@i]yaC_S{Zg\ydCgWirBqIuw@rXsg@ve@weA}Dm~A`jA{yA`Ma[uuB_mPCs~Bha@up@gRurBzQis@aJmy@vbAaK`e@md@zuEoCbcBguA|sAxEhtDa~Chn@qVrbA`CpvCj[`cAwRt{@y~@zvA^naDuQlkEte@jnAsp@_b@a|AxTksA~o@qWiWomAyWecAsjAktAjc@i{@o{@s}AdQ{bAjM{p@_Ssb@mp@ibCzHk|@mKu_Aaw@cvBhUqqCcFuVa}A}O_rCe^aAarAmVwmAlg@kfAsD{zAo}A}wCKeuAiB{~Buj@}sByNmrAedAqGshBlVg|@|PihDmGitCon@}xAazBca@sdFm{@iwB_R{nBuCc`Avc@_e@YazBgaCu{Dqp@ue@}fA}`@sjAwqAauAukAueA`F{iBqs@ecBy{Aef@mV_WkgAop@}d@yiBsoAfEmv@eh@e^{eAq^uc@ysB~CcmC_EagAwp@yKcy@k{Bw_A}uAmoAk{Agc@eaD`Agr@whAadClPqfBfSec@oBesAakAc|Cor@}k@mzAsJmXs}Co[wwAde@u`Atz@qpBngBmsBmi@eqDks@{zD_FgkCcYmnApF_y@~`@ac@sNg~@{RqjEqc@omAiYue@qw@cPk\m`@u`CujDi`C{pEebB{cAqsCk|@mp@xBaSu{@g`BsoFypEqjHmpBq~BuVamAetCshD_kAmcAsKal@tH_j@wf@s@uhBeD{`DerBk`F_fC_aIadE{kDs|AycFc`Fo_C{jEszC_tDizB{aFgFumEcpAooC}cCoaDgnAknD}s@dS,478183,35706
cs lab sabende,10.370727,-13.584125,hp labs kerouane,9.277698,-9.001033,center,prefecture,center_prefecture,7,1,wmh~@xa|qAgoBaCwt@dy@_m@_e@mrBw`CypDwaCq_AgdBonBnB{xBeo@hI}uBbfA}kDke@orAkzAobBvGohCm}AitEdpAwzG|_ByxEao@efB|x@icApaCktA|p@}\bP_y@rzA{u@|@qtC{bA{fClUynBicAsyFi^{^eqAeyArRss@wBinAkWcm@vcAwiCz|AucF{P_lCneCwcBri@wh@ekAsf@wk@ifAaX{hBdb@{qAhJqcBifAsNyzCim@cf@chBpAsvAy_AwhAkmBiQexCqh@i|Cu|Dn}@_fAfgBqcC~m@qxBiq@u}Cot@cxFzn@ofG`jA{yAsgBaiQda@ipDgRurBxFwmBvbAaK`e@md@zuEoCbcBguA|sAxEhtDa~C|qBoRpvCj[v_CqrAzvA^|mJ~RjnAsp@eLmpDtWafByWecAsjAktAjc@i{@o{@s}AdQ{bAsDotAqf@u_EocAyvDhUqqCewFyfAoXy`Dxa@gbDo}A}wCuBauEuj@}sBpRoyCjbFwxFpcF}cE`j@etEya@qw@|ZwmBvnByrC`lC_jDvwCayCrfDqrAdnB{n@`g@irB`Ek`D{lAqhDvGsxDzhCeqErcAc{BzUgyAvcA}c@rCw|B_}@gkDxOgfEpmBoqAhzBq~B~vB{nCvd@mbEny@k}Cs_@cwBifCobAlLiuD{AogCvsA}h@dfA_fBpwAuj@p_@cmAch@s}Bpf@qlB~gAixDrfBmaE{Xgl@rGqwAlSwlAilAo{Dw{@iaDapBguF`KsItDeThlAosDujAisExXknGbaCkaBvgBgdDtr@ikHeSwtFmh@klIix@siFwv@snF`DwcA|gAeLptAwv@la@gi@tlBqTluCe|BjbFy{BfeEkbAdhAiwD|tIyj@~zFmu@haFvz@z`Br^hzAg}@d~@}cB~|@km@pn@{xDdrAan@ryEm{AhzFyp@fvFyxC~wC_Yt{B_kBw|@wsCpc@{iNp~CqgIxuGiwKhdBugDdpDsjB~~IcwIttEcaCriImjBveLo|EdeBe|@aw@qjAgpCilGykEuiCycDayBenFmt@_xBmPmdBkpC}|AwfDmr@ssBh_@gcChfCexIz|@cfCw^arDyOo|Jt[k_Gk]sfKrMopEpuEgUzsBsgF`g@qlGfsCya@rn@co@lnAemChzBstAyc@wmDaEgsBiKi~@sXakDkjAkmCpvAiiAbnEwoG{^gcBwGayBn{@}`A`m@gwBwhCw}Df`@yzD`My_F}y@czFcc@khEodCedDilCue@e~AipD,745365,51306
cs lab sabende,10.370727,-13.584125,hp labs mandiana,10.620208,-8.696904,center,prefecture,center_prefecture,8,1,wmh~@xa|qAgoBaCwt@dy@_m@_e@mrBw`CypDwaCq_AgdBkr@i[c{@x^{xBeo@hI}uBbfA}kDke@orAkzAobBvGohCm}AitEdpAwzG|_ByxEao@efB|x@icApaCktA|p@}\bP_y@rzA{u@|@qtC{bA{fClUynBicAsyFi^{^eqAeyArRss@wBinAkWcm@vcAwiCz|AucFoh@_lArV__AneCwcBri@wh@ekAsf@wk@ifAaX{hBdb@{qAhJqcBifAsNyzCim@cf@chBpAsvAy_AwhAkmBiQexCqh@i|Cu|Dn}@_fAfgBqcC~m@qxBiq@u}Cot@cxFzn@ofG`jA{yAsgBaiQda@ipDgRurBxFwmBvbAaK`e@md@zuEoCbcBguA|sAxEhtDa~C|qBoRpvCj[v_CqrAzvA^|mJ~RjnAsp@_b@a|AxTksAtWafByWecAsjAktAjc@i{@o{@s}AdQ{bAsDotAqf@u_EocAyvDhUqqCewFyfAoXy`Dxa@gbDo}A}wCuBauEuj@}sByNmrAedAqGshBlVg|@|PihDmGitCon@}xAazBca@sdFmnAegF`_@cfBYazBgaCu{DoxBsgAu`Dm~CqpDol@ecBy{AuoBwdCyiBsoA}a@suA{eAq^uc@ysB~CcmC_EagAwp@yKcy@k{Bw_A}uAmoAk{A}jBoyItd@wjCqnAipF}mCqw@mXs}CtHmyCdcD_eFmi@eqDks@{zDc`@uzE|Xi|Cmw@ayGk_@ch@jf@wQpvAq]vZucEas@a{CdGmaBriBuwE{k@m`DiwA{mCfHyiBbVmdCaFqgA}_@h@xA_z@uo@ytAmrBo}BcuGyvKwrGybLoaHgaIsz@g{CofEuuEqyBasCeGgv@heDumBrbGgpIrk@ecFhc@mtDdtC}`A||BemC||Ba`GpYytLfmDayIvyAauKsaAqlE_G_oDbv@uwCzKmzEcaBivGBkrE`mGclOlhB}~C`{@aeGjrCmtIbfBa}@dVyqBfnBk~F`Re`EsdAaTyLk}BqlA_|CeMsjHrcAyaFapAgeDegAglE~{Eu`EvtBilBnhDgGp}Epv@vuFcwCn_CwmIha@skDlvB_`BhqDmoKlpBksJvrFsqHpGm\dD{Qzt@ehAzhAgaBxw@sr@`aCuuE{CqgAg_FqB{mB}pCfPgvA_a@skDomCksA}hDsNk~CytEiyAkqD{]}`Hh{AmeEbHagBioBmnDyzAewBoIa~EuhDyrGkI}zGwaCgqF{u@wwIoOc`EeiAa~Bwm@w_Agy@bRmJJ,745249,50208
cs lab sabende,10.370727,-13.584125,hp labs kouroussa,10.649507,-9.872592,center,prefecture,center_prefecture,9,1,wmh~@xa|qAgoBaCwt@dy@_m@_e@mrBw`CypDwaCw~@}j@Yix@kr@i[c{@x^{xBeo@hI}uBxUwzAho@epAdXgm@q~@gd@kzAobBvGohCuQusAwjAs_CdpAwzGb`AcoBx^uhBao@efB|x@icAzgA{v@pIq]bn@`@|p@}\kL{d@n]cSrzA{u@|@qtC{bA{fClUynBpCq_Aux@}{AeNc|Ai^{^eqAeyArRss@wBinAkWcm@be@uy@r]aoAvo@{{Bxz@gd@uMqaAoh@_lArV__A~k@gHnxAozAri@wh@ekAsf@wk@ifAlDkz@o]om@db@{qAhJqcBifAsNyzCim@_n@}x@zFen@pAsvAy_AwhA{_@yMolAoB{wAlPi_A_z@urC_gCsHut@n}@_fAzy@k`Ajl@ebAxa@gz@dKi}@iq@u}Cot@cxF`Ni`Bve@weA}Dm~A`jA{yAsgBaiQCs~Bha@up@gRurBxFwmBvbAaK`e@md@zuEoCbcBguA|sAxEhtDa~Chn@qVrbA`CpvCj[v_CqrAzvA^naDuQlkEte@jnAsp@_b@a|AxTksA~o@qWiWomAyWecAsjAktAjc@i{@o{@s}AdQ{bAsDotAmp@ibCzHk|@mKu_Aaw@cvBhUqqCcFuVa}A}O_rCe^oXy`Dlg@kfAsD{zAo}A}wCuBauEuj@}sByNmrAedAqGshBlVg|@|PihDmGitCon@}xAazBca@sdFm{@iwB_R{nBuCc`Avc@_e@YazBgaCu{DoxBsgAu`Dm~CueA`F{iBqs@ecBy{Ae~@y~Aop@}d@yiBsoAfEmv@eh@e^{eAq^uc@ysB~CcmC_EagAwp@yKcy@k{Bw_A}uAmoAk{Agc@eaD`Agr@whAadCtd@wjCoBesAakAc|Cor@}k@mzAsJmXs}Co[wwAde@u`AdcD_eFmi@eqDks@{zD_FgkCcYmnA|Xi|Cmw@ayGk_@ch@jf@wQpvAq]vZucEas@a{CdGmaBriBuwE{Qm{B_Y_d@iwA{mCfHyiBbVmdCaFqgA}_@h@xA_z@uo@ytAmrBo}BcuGyvKwrGybLoaHgaIsDibB_u@}w@ofEuuEqyBasCeGgv@heDumBrbGgpIrk@ecFhc@mtDdtC}`A||BemC||Ba`GpYytLdAm~A`kDsyF`pAqjFtHoiDsaAqlE_G_oDbv@uwCzKmzEcaBivGBkrElqCwlGxrAouBxf@{gCfvAwiAdQetAOqjBp{@oyC`yAsfFhx@ylBbfBa}@dVyqBjaA_oBzk@knC`m@ywEvHeA,570912,38171
